,index,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
36,53,Rio Grande,4717.5,1798.3,884.4,946.5,17.9,0.0,934.1,68.2,61.4,6.7,8.0,105.0,2019.0,11346.5,8105.0,0.984,0.38,37.485763,-106.453214,52.125641025641,29.7730769230769,40.1820512820513,51.573717948718,7.211410256410259,27.6217948717949,264.594230769231,16.8897435897436,7.37820512820513
37,63,Yuma,4067.1,2327.6,1003.0,610.1,2.8,0.0,61.5,0.0,38.0,24.1,8.0,125.0,2019.0,10048.5,8125.0,11.135,4.299,40.000631,-102.422649,67.9897435897436,38.5294871794872,52.4070512820513,55.3698717948718,3.25871794871795,23.4769230769231,203.908974358974,16.6916666666667,6.58333333333333
38,10,Clear Creek,4435.1,2224.8,877.5,738.2,8.4,0.0,441.0,56.8,56.2,32.5,8.0,19.0,2019.0,9416.0,8019.0,3.28,1.266,39.689403,-105.670791,37.6115384615385,23.7532051282051,30.2769230769231,54.0532051282051,8.62724358974359,39.7448717948718,274.123076923077,23.6846153846154,7.19871794871795
39,11,Conejos,3156.5,1304.4,434.7,367.3,23.0,6.6,970.6,10.9,30.4,8.6,8.0,21.0,2019.0,8136.75,8021.0,9.235,3.566,37.213407,-106.176447,57.4410256410256,28.3628205128205,42.4679487179487,51.2942307692308,6.30339743589744,23.125,271.208333333333,16.5891025641026,7.19230769230769
40,57,San Miguel,3525.5,1593.5,511.5,1025.0,17.4,0.6,330.1,39.0,1.2,7.8,8.0,113.0,2019.0,7982.75,8113.0,5.214,2.013,38.009374,-108.427326,58.6192307692308,37.0608974358974,47.3698717948718,45.0967948717949,4.91455128205128,29.4782051282051,291.105128205128,17.9647435897436,7.50641025641026
41,34,Lake,3330.6,1796.8,457.0,637.6,79.9,6.1,293.3,0.0,59.9,0.0,8.0,65.0,2019.0,7665.5,8065.0,18.124,6.998,39.204316,-106.349696,49.3076923076923,23.0378205128205,36.2608974358974,53.8615384615385,5.84948717948718,37.1070512820513,202.535256410256,16.2301282051282,6.80769230769231
42,32,Kit Carson,3004.1,2146.0,415.8,350.7,0.0,0.0,37.2,0.0,40.3,14.1,8.0,63.0,2019.0,7543.5,8063.0,2.252,0.869,39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744
43,28,Huerfano,3164.0,1181.4,1043.0,412.9,0.0,4.6,482.8,17.8,20.7,3.2,8.0,55.0,2019.0,6632.25,8055.0,5.792,2.236,37.687815,-104.959928,61.3769230769231,35.8653846153846,47.0288461538462,47.9544871794872,6.30378205128205,22.9294871794872,261.196794871795,16.1467948717949,7.28846153846154
44,55,Saguache,2770.8,681.0,930.4,352.3,21.3,13.5,660.8,36.9,43.9,30.7,8.0,109.0,2019.0,6532.0,8109.0,4.455,1.72,38.033952,-106.246675,59.423717948718,31.6717948717949,44.8467948717949,48.599358974359,2.72435897435897,22.3685897435897,307.796794871795,19.0397435897436,7.84615384615385
45,52,Rio Blanco,2417.8,1453.2,259.0,501.1,0.0,2.4,146.0,4.0,40.6,11.5,8.0,103.0,2019.0,6443.75,8103.0,4.868,1.88,39.972606,-108.200685,60.325,30.6826923076923,45.3935897435897,51.9762820512821,4.24692307692308,25.3948717948718,274.301282051282,18.1448717948718,7.3974358974359
