County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
San Juan,255,13,126,36,0,6,69,0,5,0,8,111,2017,569,8111,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257,55.367948717948700,35.51474358974360,44.975641025641000,45.78589743589740,3.899551282051280,33.885897435897400,263.9365384615390,16.121153846153800,7.096153846153850
San Juan,266,14,147,37,0,7,59,0,2,0,8,111,2018,544,8111,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257,55.367948717948700,35.51474358974360,44.975641025641000,45.78589743589740,3.899551282051280,33.885897435897400,263.9365384615390,16.121153846153800,7.096153846153850
San Juan,289,33,150,42,0,13,49,0,2,0,8,111,2019,589,8111,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257,55.367948717948700,35.51474358974360,44.975641025641000,45.78589743589740,3.899551282051280,33.885897435897400,263.9365384615390,16.121153846153800,7.096153846153850
San Juan,297,32,152,46,0,11,55,0,1,0,8,111,2020,646,8111,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257,55.367948717948700,35.51474358974360,44.975641025641000,45.78589743589740,3.899551282051280,33.885897435897400,263.9365384615390,16.121153846153800,7.096153846153850
Jackson,597,122,77,199,0,0,188,0,11,0,8,57,2017,1372,8057,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248,52.47179487179490,24.812179487179500,38.85,54.993589743589700,3.926282051282050,30.690384615384600,249.0326923076920,17.261538461538500,7.230769230769230
Jackson,575,125,63,192,0,0,187,0,8,0,8,57,2018,1296,8057,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248,52.47179487179490,24.812179487179500,38.85,54.993589743589700,3.926282051282050,30.690384615384600,249.0326923076920,17.261538461538500,7.230769230769230
Jackson,558,140,69,168,0,0,181,0,0,0,8,57,2019,1261,8057,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248,52.47179487179490,24.812179487179500,38.85,54.993589743589700,3.926282051282050,30.690384615384600,249.0326923076920,17.261538461538500,7.230769230769230
Jackson,635,168,64,266,0,0,137,0,0,0,8,57,2020,1316,8057,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248,52.47179487179490,24.812179487179500,38.85,54.993589743589700,3.926282051282050,30.690384615384600,249.0326923076920,17.261538461538500,7.230769230769230
Larimer,130502,93933,5856,27649,127,40,1748,260,546,343,8,69,2017,330976,8069,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131,63.6301282051282,37.06794871794870,49.83653846153850,54.3775641025641,9.107948717948720,20.01410256410260,226.27179487179500,15.035897435897400,6.532051282051280
Larimer,133527,96320,6063,27991,85,46,1766,266,609,381,8,69,2018,338161,8069,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131,63.6301282051282,37.06794871794870,49.83653846153850,54.3775641025641,9.107948717948720,20.01410256410260,226.27179487179500,15.035897435897400,6.532051282051280
Larimer,137021,98693,5976,29085,97,30,1779,326,668,367,8,69,2019,344786,8069,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131,63.6301282051282,37.06794871794870,49.83653846153850,54.3775641025641,9.107948717948720,20.01410256410260,226.27179487179500,15.035897435897400,6.532051282051280
Larimer,134185,97160,5919,27992,77,40,1671,376,498,452,8,69,2020,350523,8069,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131,63.6301282051282,37.06794871794870,49.83653846153850,54.3775641025641,9.107948717948720,20.01410256410260,226.27179487179500,15.035897435897400,6.532051282051280
Logan,8151,4900,1127,1944,11,0,94,0,69,6,8,75,2017,21885,8075,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464,65.63397435897440,35.59102564102560,49.93333333333330,58.8724358974359,2.697628205128210,22.775641025641000,234.02628205128200,16.613461538461500,6.6923076923076900
