,solarRank,rank1,rank_x,index_x,County,Estimate!!Total!!Utility gas_x,"Estimate!!Total!!Bottled, tank, or LP gas_x",Estimate!!Total!!Electricity_x,"Estimate!!Total!!Fuel oil, kerosene, etc._x",Estimate!!Total!!Coal or coke_x,Estimate!!Total!!Wood_x,Estimate!!Total!!Solar energy_x,Estimate!!Total!!Other fuel_x,Estimate!!Total!!No fuel used_x,summed,Solar Energy Percentage,perCapitaRank,rank_y,index_y,Estimate!!Total,Estimate!!Total!!Utility gas_y,"Estimate!!Total!!Bottled, tank, or LP gas_y",Estimate!!Total!!Electricity_y,"Estimate!!Total!!Fuel oil, kerosene, etc._y",Estimate!!Total!!Coal or coke_y,Estimate!!Total!!Wood_y,Estimate!!Total!!Solar energy_y,Estimate!!Total!!Other fuel_y,Estimate!!Total!!No fuel used_y,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex,Per Capita,totalRank
60,60,60,60,17,Dolores,274.8,313.7,68.4,2.4,0.0,144.4,0.0,15.3,0.0,818.9999999999999,0.0,3,3,17,818.4,274.8,313.7,68.4,2.4,0.0,144.4,0.0,15.3,0.0,8.0,33.0,2019.0,1832.5,8033.0,2.716,1.049,37.747602,-108.530383,60.4839743589744,36.66217948717951,48.2416666666667,46.0794871794872,3.6326282051282095,25.5525641025641,277.43141025641,19.7583333333333,7.8525641025641,0.4002402533580867,63
58,58,58,58,31,Kiowa,376.4,137.4,71.0,0.4,0.0,14.1,0.0,11.9,2.6,613.8,0.0,4,4,31,613.6,376.4,137.4,71.0,0.4,0.0,14.1,0.0,11.9,2.6,8.0,61.0,2019.0,1442.25,8061.0,47.033,18.16,38.388466,-102.75621,71.1910256410256,38.9717948717949,54.4692307692308,51.2314102564103,3.36544871794872,19.1051282051282,207.478205128205,16.9564102564103,6.91025641025641,0.5494913704423363,62
51,51,51,51,58,Sedgwick,556.0,198.0,202.5,0.6,0.8,8.4,0.0,7.7,1.4,975.4,0.0,9,9,58,974.9,556.0,198.0,202.5,0.6,0.8,8.4,0.0,7.7,1.4,8.0,115.0,2019.0,2333.75,8115.0,3.531,1.363,40.871568,-102.355358,66.9692307692308,38.5474358974359,51.873717948718,57.542307692307695,3.57903846153846,19.6839743589744,230.927564102564,16.9064102564103,6.74358974358974,1.179084419160406,60
22,22,22,22,11,Conejos,1304.4,434.7,367.3,23.0,6.6,970.6,10.9,30.4,8.6,3156.5,0.3453191826389989,38,38,11,3156.5,1304.4,434.7,367.3,23.0,6.6,970.6,10.9,30.4,8.6,8.0,21.0,2019.0,8136.75,8021.0,9.235,3.566,37.213407,-106.176447,57.4410256410256,28.3628205128205,42.4679487179487,51.2942307692308,6.30339743589744,23.125,271.208333333333,16.5891025641026,7.19230769230769,20.53340029121632,60
54,54,54,54,48,Phillips,1065.7,277.2,322.0,2.4,0.0,3.8,0.0,26.6,7.7,1705.4,0.0,5,5,48,1704.7,1065.7,277.2,322.0,2.4,0.0,3.8,0.0,26.6,7.7,8.0,95.0,2019.0,4319.5,8095.0,0.302,0.117,40.594712,-102.345105,68.3538461538462,39.3512820512821,52.9397435897436,56.8224358974359,2.59083333333333,16.7628205128205,222.436538461538,14.9538461538462,5.94230769230769,0.5658128278852262,59
15,15,15,15,6,Boulder,91128.5,3716.7,28866.8,104.9,15.4,1205.6,655.2,605.2,558.5,126856.79999999999,0.5164878823996822,44,44,6,126851.9,91128.5,3716.7,28866.8,104.9,15.4,1205.6,655.2,605.2,558.5,8.0,13.0,2019.0,321251.0,8013.0,36.469,14.081,40.094826,-105.398382,59.7512820512821,35.923717948718,47.4160256410256,55.4602564102564,9.08141025641026,19.4839743589744,197.99358974359,14.8692307692308,6.37820512820513,91.86631740893466,59
46,46,46,46,5,Bent,1245.0,325.5,136.2,0.0,9.3,70.8,1.2,18.5,0.0,1806.5,0.06642679213949626,12,12,5,1806.5,1245.0,325.5,136.2,0.0,9.3,70.8,1.2,18.5,0.0,8.0,11.0,2019.0,5769.75,8011.0,73.094,28.222,37.931891,-103.077584,71.050641025641,39.8641025641026,54.6897435897436,50.2762820512821,4.03320512820513,17.5923076923077,241.385897435897,17.3064102564103,7.21153846153846,1.6499425211756564,58
44,44,44,44,25,Grand,2669.3,636.1,2055.4,2.4,17.7,579.1,6.4,57.8,5.5,6029.7,0.10614126739307098,14,14,25,6028.2,2669.3,636.1,2055.4,2.4,17.7,579.1,6.4,57.8,5.5,8.0,49.0,2019.0,15174.5,8049.0,60.25,23.263,40.123289,-106.095876,50.6358974358974,24.7108974358974,37.1147435897436,59.2089743589744,8.49358974358974,33.0391025641026,213.569871794872,16.4519230769231,6.94871794871795,2.2931454227006967,58
27,27,27,27,43,Montrose,10629.6,2030.6,2617.5,45.9,53.0,1570.1,51.5,165.7,91.4,17255.300000000003,0.2984590241838739,28,28,43,17255.3,10629.6,2030.6,2617.5,45.9,53.0,1570.1,51.5,165.7,91.4,8.0,85.0,2019.0,41535.5,8085.0,4.923,1.901,38.413427,-108.263042,64.5589743589744,39.1012820512821,51.425,45.6301282051282,5.0748717948718,21.5474358974359,262.183974358974,17.7698717948718,7.55128205128205,7.421692129009203,55
0,0,0,0,14,Custer,68.4,1204.0,314.0,0.6,5.2,541.9,55.8,22.8,3.6,2216.3,2.5177096963407477,54,54,14,2214.1,68.4,1204.0,314.0,0.6,5.2,541.9,55.8,22.8,3.6,8.0,27.0,2019.0,4715.5,8027.0,3.365,1.299,38.101994,-105.373515,61.4070512820513,34.6423076923077,47.0961538461539,47.5711538461539,5.74275641025641,21.3929487179487,256.414102564103,15.9621794871795,7.3974358974359,,54
